,Velocity,Braking,Acceleration_with_pitch_comp,Acceleration_measured,Pitch degrees,kk,ii,jj,hh,dd,aa,bb,cc
41,3.6336842085185803,0.0,0.9912902272072621,-1.956034409,-17.50249993316829,485,233,27,3,140,173,15,0
42,3.3824999809265135,0.0,0.9824452738335525,-1.6602168117499998,-15.64399996958673,485,233,27,3,140,173,15,0
43,2.4540000200271606,0.0,-0.03497444865794086,0.8561205449999999,5.216999972611665,485,233,27,3,140,173,15,0
44,1.733157898250379,0.0,0.4225544208978276,1.480608017,6.1979999676346775,485,233,27,3,140,173,15,0
45,1.6836842110282497,0.0,0.4288550889541838,1.3672921762499999,5.494999942928553,485,233,27,3,140,173,15,0
46,1.8054999947547912,0.0,0.43906194257313014,1.3196808905,5.155499909445643,485,233,27,3,140,173,15,0
47,1.7009999990463256,0.0,0.4482730169995036,1.15321300675,4.124999934434891,485,233,27,3,140,173,15,0
48,1.4773684175390946,0.0,0.5619037580129479,1.1885169467499999,3.6659999668598173,485,233,27,3,140,173,15,0
49,1.4278947365911383,0.0,0.39238105560289327,1.0162631395,3.6499999426305294,485,233,27,3,140,173,15,0
50,1.3826315779435008,0.0,0.2753005180131861,0.87588094475,3.513499954342842,485,233,27,3,140,173,15,0
51,1.4944999992847443,0.0,0.3520113358575681,0.82655349525,2.775499951094389,485,233,27,3,140,173,15,0
52,1.4170000016689301,0.0,0.2945438178523622,0.73594004925,2.581499972939491,485,233,27,3,140,173,15,0
53,1.238947360139144,0.0,0.34761734999197264,0.7709007565,2.4754999786615373,485,233,27,3,140,173,15,0
54,2.0360000014305113,0.0,-0.23633061293554192,0.85283531725,6.381000027060509,485,233,27,3,140,173,15,0
55,1.956315793489155,0.0,-0.25747712827354385,0.865338796,6.579000049084425,485,233,27,3,140,173,15,0
56,1.9205263288397538,0.0,-0.2271668557943708,0.91697080825,6.704500060528517,485,233,27,3,140,173,15,0
57,2.0795000076293944,0.0,-0.07008808094981256,1.12957898025,7.03150003105402,485,233,27,3,140,173,15,0
58,1.9940000176429749,0.0,-0.1946277142503381,1.03406220925,7.202500011026859,485,233,27,3,140,173,15,0
59,1.7589473849848698,0.0,-0.057209920840923356,1.2322055725,7.5604999795556065,485,233,27,3,140,173,15,0
60,1.7142105353505988,0.0,0.10655325441572527,1.33473409825,7.199500010162592,485,233,27,3,140,173,15,0
61,1.6663158065394352,0.0,0.21230962466173398,1.3532196335,6.685499983280897,485,233,27,3,140,173,15,0
62,1.7885000109672546,0.0,0.025443403129862707,1.33443989875,7.6759999640285965,485,233,27,3,140,173,15,0
63,1.6820000052452087,0.0,0.22418838080703085,1.332135336,6.491499918326736,485,233,27,3,140,173,15,0
64,1.4652631533773322,0.0,0.02369682070917234,1.3112471715,7.549499918147921,485,233,27,3,140,173,15,0
65,1.414736835580123,0.0,0.02656441581216873,1.2935952014999998,7.42849995046854,485,233,27,3,140,173,15,0
66,1.3631578872078343,0.0,0.024817777536296326,1.272510904,7.31449995227158,485,233,27,3,140,173,15,0
67,1.451999992132187,0.0,0.024845481821045734,1.1837607215,6.791499971412122,485,233,27,3,140,173,15,0
68,1.344999998807907,0.0,0.022470872384741103,1.23843279525,7.127499977312982,485,233,27,3,140,173,15,0
69,1.158947361143012,0.0,0.01588411710454296,1.21597556675,7.034000030718744,485,233,27,3,140,173,15,0
70,1.1089473649075157,0.0,0.014893706695310538,1.2174465642499999,7.048500028811395,485,233,27,3,140,173,15,0
71,1.060526308260466,0.0,-0.06065702778193183,1.1998436275,7.390000028721988,485,233,27,3,140,173,15,0
72,1.1229999899864196,0.0,-0.062871998421135,1.1639512884999998,7.191500039212405,485,233,27,3,140,173,15,0
73,1.0209999918937682,0.0,-0.12629657569872266,1.13556103675,7.398000012524426,485,233,27,3,140,173,15,0
74,0.8726315749318976,0.0,-0.12717280198471226,1.0291098509999999,6.7760000174865125,485,233,27,3,140,173,15,0
75,0.8268421041338068,0.0,-0.1297369511788078,1.02043096575,6.7400000363588335,485,233,27,3,140,173,15,0
